"PartNum","alpha","beta","BIC","LL"
1,0.450148130754845,3.72240634407773,293.07185789059,-141.278433573267
2,0.300401259957546,4.19131970175423,287.646187992896,-138.56559862442
3,0.742928797755602,2.82090960638343,307.442250456314,-148.463629856129
4,0.258037418023759,5.20458558018445,234.425414086429,-111.955211671187
5,0.380014168715721,4.58268400347657,247.718863332001,-118.601936293973
6,0.23980070133325,6.54002863500492,178.833600613025,-84.1593049344847
7,0.73829959653697,2.88637863864466,300.755350779149,-145.120180017547
8,0.658427974004198,2.29489106997554,389.07244451219,-189.278726884067
9,0.101366079551585,4.62557164802594,353.84573700949,-171.665373132717
10,0.30249551108997,3.34975551240116,349.249419588363,-169.367214422154
11,0.310039350557072,2.35332101358045,433.988650652451,-211.736829954198
11,0.310039694730995,2.35332032643706,433.988650652611,-211.736829954278
12,0.296860295570647,3.45479210834042,341.389943496319,-165.437476376132
12,0.296860415702935,3.45479504642404,341.38994349631,-165.437476376127
13,0.227156279915765,4.6933749305857,262.982641448743,-126.233825352344
13,0.227156233949304,4.69337662030176,262.982641448567,-126.233825352256
14,0.535036069051518,3.09345847720899,329.095198885631,-159.290104070788
14,0.53503525814274,3.09346224529961,329.095198885391,-159.290104070667
15,0.37995769234144,3.85449823025699,296.813734274357,-143.149371765151
15,0.379958007589079,3.85450218491984,296.8137342742,-143.149371765072
16,0.279138687437152,7.07924062058753,155.362322999625,-72.4236661277848
16,0.279137234648902,7.07926748163706,155.362323000278,-72.4236661281113
17,0.379023626913992,2.96203398418168,370.397532124981,-179.941270690463
17,0.379023604534548,2.9620341558151,370.397532124973,-179.941270690458
18,0.191528755839949,4.87117505092988,271.974352378172,-130.729680817058
18,0.191528578647204,4.87117086419111,271.974352376277,-130.729680816111
19,0.351725883120195,2.32306258159062,430.918573325985,-210.201791290965
19,0.351725760890331,2.32306232912108,430.918573325984,-210.201791290964
20,0.22118550633382,9.19538275986163,114.584878606738,-52.0349439313411
20,0.221185798446569,9.19539641614374,114.584878609012,-52.0349439324784
