"","SimAlpha","fitAlpha","simBeta","fitBeta","BIC"
"1",0,0,0.588930076919496,1,542.852025414094
"2",0,0,1.10297953399519,1,542.852025414094
"3",0,0.00977207822359314,2.15036957059056,1.00001671999671,542.787009320347
"4",0,0.00778932050329212,3.19621687072868,10,540.993878753261
"5",0,0,4.66607582684242,1,542.852025414094
"6",0.25,0.123825176789477,0.588930076919496,1,539.890730676491
"7",0.25,0.0810337422107144,1.10297953399519,2.27838983794613,534.006817611552
"8",0.25,0.20388883118433,2.15036957059056,2.98973262126094,477.276990832028
"9",0.25,0.269207980555689,3.19621687072868,3.2786705896363,451.761870229303
"10",0.25,0.177256903061132,4.66607582684242,6.20556205191325,384.125544491325
"11",0.5,0.262653047335077,0.588930076919496,1,535.350605772221
"12",0.5,0.536931651360116,1.10297953399519,1.18689353680147,515.648953209506
"13",0.5,0.602617318414926,2.15036957059056,2.24199465549629,466.949431144182
"14",0.5,0.465635406048701,3.19621687072868,3.17959061361813,394.416951790345
"15",0.5,0.534312467930543,4.66607582684242,5.42026382778533,274.936837979758
"16",0.75,0.00161799290544832,0.588930076919496,10,542.676939287081
"17",0.75,1,1.10297953399519,1.0124902451145,516.10142011065
"18",0.75,0.809321576490459,2.15036957059056,1.95373119469064,469.467116751949
"19",0.75,0.677294273984966,3.19621687072868,3.6023826305576,369.691029591498
"20",0.75,0.741466503227344,4.66607582684242,5.02796371305046,332.604023229932
"21",1,0,0.588930076919496,1,542.852025414094
"22",1,0.99163491566813,1.10297953399519,1.20893002799953,509.60686721041
"23",1,0.901002261431022,2.15036957059056,2.49523194576548,445.522387624159
"24",1,0.953679234985287,3.19621687072868,4.27242919223978,360.372498209551
"25",1,0.950308350962457,4.66607582684242,4.37243977794516,366.93803394686
"26",0,0.0111583669595737,0.588930076919496,3.60523338802725,542.313931602774
"27",0,0.00209974167201388,1.10297953399519,10,542.587361015353
"28",0,0,2.15036957059056,1,542.852025414094
"29",0,0.00611343617786562,3.19621687072868,1.00001721869903,542.810864611532
"30",0,0.00454531196082909,4.66607582684242,10,542.084973034667
"31",0.25,0.0479657456086132,0.588930076919496,1.87673477427115,538.935132751555
"32",0.25,0.315981704288053,1.10297953399519,1,533.241680664752
"33",0.25,0.31014871360383,2.15036957059056,1.92350320083425,503.84314202871
"34",0.25,0.35558885020634,3.19621687072868,2.84793576467885,446.294789222321
"35",0.25,0.309350590932279,4.66607582684242,5.35986258118699,362.386937467923
"36",0.5,0,0.588930076919496,1,542.852025414094
"37",0.5,0.514931987451964,1.10297953399519,1,536.892483329482
"38",0.5,0.416616652799792,2.15036957059056,2.47293161509972,465.103559647423
"39",0.5,0.600437619629816,3.19621687072868,2.82092009299659,413.656204002171
"40",0.5,0.432458700240569,4.66607582684242,6.23950001514017,246.884176298344
"41",0.75,0.128927322547235,0.588930076919496,1.30548990677094,534.585134118936
"42",0.75,0.935604713714081,1.10297953399519,1,520.060220843645
"43",0.75,0.843077740575979,2.15036957059056,2.23343491665674,454.942843602505
"44",0.75,0.801325037503766,3.19621687072868,3.20240688574594,411.289202432272
"45",0.75,0.735982570230835,4.66607582684242,3.80544115442555,387.148404302769
"46",1,0.860581104365939,0.588930076919496,1,528.492903716982
"47",1,0.729518881119077,1.10297953399519,1,526.303545976409
"48",1,0.892718506670432,2.15036957059056,2.12960419743712,452.934521974856
"49",1,0.945245642309603,3.19621687072868,3.10729625649021,390.128392670776
"50",1,0.982550733618751,4.66607582684242,3.99666669475674,355.143646887321
"51",0,0,0.588930076919496,1,542.852025414094
"52",0,0.069965387983479,1.10297953399519,1,541.360217991876
"53",0,0,2.15036957059056,1,542.852025414094
"54",0,0.0565343443957669,3.19621687072868,1.20393812081636,541.288160880541
"55",0,0.0462628319470393,4.66607582684242,1,542.358298469958
"56",0.25,0.115519617880927,0.588930076919496,1,541.726760609065
"57",0.25,0.303979435862944,1.10297953399519,1.24914784554184,527.13884966198
"58",0.25,0.21825673281674,2.15036957059056,2.4068059444446,500.754293434548
"59",0.25,0.285576013309941,3.19621687072868,3.0094201374551,460.954181729368
"60",0.25,0.230272530646104,4.66607582684242,5.18961491616243,357.975154861258
"61",0.5,0.335390977918446,0.588930076919496,1,534.08543563601
"62",0.5,0.514136975158288,1.10297953399519,1.11337207255557,520.606201850016
"63",0.5,0.60509881765961,2.15036957059056,2.25394227100228,434.595249390656
"64",0.5,0.477809459323657,3.19621687072868,3.30825442654942,392.504417918414
"65",0.5,0.353553790772752,4.66607582684242,5.13126936671127,325.666122628879
"66",0.75,0.6828352726376,0.588930076919496,1,530.76368576331
"67",0.75,0.479924489354739,1.10297953399519,1.60519533493097,504.630542030727
"68",0.75,0.496191091774808,2.15036957059056,2.08827812015351,471.880360021678
"69",0.75,0.758259772855907,3.19621687072868,3.23757615648685,401.982159158656
"70",0.75,0.682152133697925,4.66607582684242,4.90206785533651,290.357677186337
"71",1,0.172730761491565,0.588930076919496,1,536.394667202431
"72",1,1,1.10297953399519,1.19409650659922,501.36113998302
"73",1,1,2.15036957059056,2.27503779281767,434.431426000656
"74",1,0.917252663739601,3.19621687072868,3.0665857684355,379.578145739339
"75",1,1,4.66607582684242,3.72479570466826,367.152882659837
